"","Stress","SO2","O3","Forrest","William"
"1","Well-watered",0,0.02,4376,5561
"2","Well-watered",0,0.05,4544,5947
"3","Well-watered",0,0.07,2806,4273
"4","Well-watered",0,0.08,3339,3470
"5","Well-watered",0,0.1,3320,3080
"6","Well-watered",0.02,0.02,3747,5092
"7","Well-watered",0.02,0.05,4570,4752
"8","Well-watered",0.02,0.07,4635,4232
"9","Well-watered",0.02,0.08,3613,2867
"10","Well-watered",0.02,0.1,3259,3106
"11","Well-watered",0.06,0.02,4179,4736
"12","Well-watered",0.06,0.05,5077,3672
"13","Well-watered",0.06,0.07,3401,3386
"14","Well-watered",0.06,0.08,3371,2854
"15","Well-watered",0.06,0.1,2158,2557
"16","Stressed",0,0.02,4977,4520
"17","Stressed",0,0.05,3780,3047
"18","Stressed",0,0.07,3804,3526
"19","Stressed",0,0.08,3941,3357
"20","Stressed",0,0.1,2863,2663
"21","Stressed",0.02,0.02,5573,4869
"22","Stressed",0.02,0.05,3555,3774
"23","Stressed",0.02,0.07,3340,2955
"24","Stressed",0.02,0.08,3243,3513
"25","Stressed",0.02,0.1,2802,2838
"26","Stressed",0.06,0.02,4589,4056
"27","Stressed",0.06,0.05,3250,2758
"28","Stressed",0.06,0.07,3045,3094
"29","Stressed",0.06,0.08,2827,2398
"30","Stressed",0.06,0.1,2979,2101
